x,y,z,r
0.235000898885909,0.259440280208972,0.104010493478077,0.0402314935399266
0.121699434947134,0.0524990388410891,0.117218413446292,0.0324397114970542
0.0849748752373367,0.15484080955068,0.137559217024021,0.030849262629257
0.125729873640651,0.257719026005421,0.0789414950557526,0.029409420032861
0.00685216824366155,0.115800258074925,0.0848618993666275,0.0292016629254321
0.150472493284143,0.310719833989724,0.0782365990922327,0.0271496939370398
0.269190035585903,0.138877030954766,0.161702819177469,0.0265174100962707
0.264276984652479,0.132088440692286,0.0432037831922789,0.0254720725212584
0.27664252628842,0.332256369147429,0.065513086815041,0.0247362584695521
0.269098988350365,0.0585387409231526,0.172396095740414,0.0235785672558074
0.205809119357974,0.0541633220296156,0.0399725645714904,0.0235573055516459
0.142434192998617,0.262047001375492,0.165116763157231,0.0231009360105926
0.276487060480586,0.111483485889647,0.106812825474145,0.0217331733720182
0.0314827375697034,0.0390970104676212,0.0272585097876597,0.0205134176603953
0.237528306680066,0.173311956681381,0.037942081203516,0.0203574198837639
0.24383352019433,0.203976837811544,0.163079442295484,0.0201591602029876
0.184688024268455,0.167833184823577,0.16026952110439,0.0200011258304081
0.201131426695566,0.295812364768913,0.14772805839908,0.0199603450281427
0.205095462539267,0.0863570840950912,0.133283243463894,0.0199258339921602
0.0292189847609179,0.219085924810054,0.132188911589468,0.0197198236656563
0.203031628015455,0.00594402841804145,0.0241719142197116,0.0193452651425362
0.0111968555168984,0.215149696690999,0.0724822924546105,0.0192081827099698
0.0173364026647214,0.171349496212063,0.038502079212415,0.018982908509861
0.0661752610654148,0.0149283438189002,0.127039583371976,0.0187839077984796
0.174690604718906,0.18753036951289,0.0890366330592085,0.0186393980057045
0.0433762971593245,0.171625052713806,0.170599631068163,0.0185968884527539
0.305874592051607,0.0946030163024442,0.0416922717502628,0.0184042456361541
0.325920484612887,0.255031588587395,0.147568330759518,0.0184006808779411
0.34453940928434,0.300628585839353,0.157111797853006,0.0182861863561976
0.179682096505651,0.0621608611770528,0.0797178993471686,0.0182038092885105
0.105457122605237,0.103436842066375,0.0665872563672351,0.0179739034697277
0.294772314346767,0.195661390746043,0.170819989854689,0.0178916387961813
0.0619876368261882,0.231982821686341,0.0661657990406609,0.0178735214603182
