x,y,z,r
0.0247157480900595,0.230026501285127,0.103931887206152,0.0350308275764454
0.331635373476248,0.0072977347642157,0.145743567837699,0.0335839497121775
0.265315947122887,0.0177529068603366,0.12848201581739,0.0269086341964697
0.175271216761202,0.18553142123395,0.147650305402703,0.0260403211221393
0.0960989590967152,0.083312477453053,0.151988622566801,0.0249590812148241
0.336033054216504,0.0581722261607335,0.0757187783177507,0.0246407820743564
0.0338808333362743,0.327096836506545,0.160583173178275,0.0242844967933891
0.255571864958427,0.278149692410075,0.114713924382285,0.02389237579722
0.315699541642017,0.265503749174562,0.0723584252227466,0.0226946150586622
0.173678708425377,0.230539920052406,0.0577933565934827,0.0217734842962985
0.0500700029033588,0.107846593096075,0.0694882599223985,0.0214236973305337
0.0488384620558896,0.0756834854061613,0.111164337446229,0.02130708521885
0.0179143088638754,0.146073420173486,0.142316032596649,0.0210926429182967
0.307745562300923,0.210517803836306,0.0929944095318215,0.0209180364635198
0.285397225166124,0.112743718971337,0.0752778873337854,0.0205342919344867
0.343372349005709,0.0234373880033471,0.0390514930093278,0.0204677878995798
0.148192086477667,0.187976750103646,0.0926554298085883,0.0201704178855054
0.24862317296023,0.199291706463194,0.031419755630565,0.0201228095716067
0.253110751671208,0.0656454519458331,0.172026345000161,0.019958057861898
0.0601035838645634,0.0308162461788595,0.0609085591707863,0.0193433886973544
0.141755647527291,0.0199786854277936,0.126067398985156,0.019139796545512
0.0751034289756644,0.220398295050271,0.0789121870128325,0.0190105040883511
0.278637694133643,0.307662929674335,0.156015424470677,0.0185542279351984
0.24586890874904,0.147235279351396,0.12877116632443,0.0184068718604565
0.142433004419119,0.0958251659250432,0.0462702054055303,0.0184051730508729
0.0861659788038056,0.139435192103162,0.161355960742257,0.0183926212255442
0.105642461100889,0.171372036795278,0.156257429052411,0.0183791317230319
0.157491941135873,0.291634143032223,0.135334916960653,0.0180485314181717
0.0303201723217193,0.343251466182442,0.113285683745916,0.0179066389650514
0.00902370631757081,0.11694442967306,0.111361319904108,0.0177945801749945
0.115120869826936,0.18311088253956,0.0249433116661878,0.0174090340372192
0.158443699891326,0.347408551233582,0.0798457651880357,0.0173915926340753
0.220034024594876,0.26360120520095,0.13877746604815,0.017375388353739
0.0479081869925207,0.317436736637542,0.0757753176575231,0.0173211523182319
0.286176126779564,0.148363414740272,0.16359530668991,0.0172908437626509
0.155573560329285,0.133091121595947,0.141447033829346,0.0172268132186257
0.0836206417183013,0.0615177894234707,0.047629353503474,0.0171743556213067
0.0992570665516599,0.0142270498069023,0.110283336790231,0.017169777325256
0.134457739946249,0.0765193523465143,0.112664416452933,0.0170246197421396
0.0157010100429555,0.0661934403011425,0.0402672663993839,0.0170037183842311
0.210122367045329,0.0811028602740891,0.113309575957615,0.0168246571567519
0.183505342173496,0.00659363678512518,0.0526903430389156,0.0168215167676779
